 15000  -0.1695581324E+00   0.2892074124E-01  -0.1149151353E+00  -0.8766044667E-11
 15000  -0.2567080134E-01   0.2361446271E-01  -0.1052512351E+00   0.1844064173E-10
 15000   0.6105843879E-01   0.2265058805E-01  -0.1027992786E+00   0.1251695152E-10
 15000   0.1528331090E+00   0.2223371601E-01  -0.1012723418E+00   0.3423070603E-11
 15000   0.2474786415E+00   0.2223224998E-01  -0.1003153075E+00   0.1118203771E-11
 15000   0.3438991701E+00   0.2259982487E-01  -0.9977654869E-01   0.1150441460E-10
 15000   0.4414198385E+00   0.2322337292E-01  -0.9954679714E-01   0.2517450486E-10
 15000   0.5372659920E+00   0.2416662596E-01  -0.9909554248E-01   0.8403379049E-11
 15000   0.7188248101E+00   0.2751160423E-01  -0.9677547168E-01  -0.2279854698E-09
 15000   0.8088304216E+00   0.2940145690E-01  -0.9590958779E-01  -0.3221861982E-09
 15000   0.8963956109E+00   0.3155517590E-01  -0.9486901301E-01  -0.2246538368E-09
 15000   0.1062375743E+01   0.3675012210E-01  -0.9204808468E-01   0.3225950740E-09
 15000   0.1209631236E+01   0.4380628520E-01  -0.8765173736E-01   0.1221892114E-09
 15000   0.1327006422E+01   0.5410998565E-01  -0.8128059563E-01  -0.2322239721E-09
 15000   0.1402846334E+01   0.6960719148E-01  -0.7362325698E-01  -0.7435515620E-10
