   VG at diff span location but fixed height (dz=0)
   r(in)           y=46.5          y=52.5          y=58.5          wing only (no VG)
   5.1979412e+01   6.2897440e-01   4.8029977e-01   3.9770029e-01   5.3321058e-01
   5.2738235e+01   6.1778002e-01   5.1876717e-01   3.8552393e-01   5.2414555e-01
   5.3497059e+01   6.0529097e-01   5.5093920e-01   3.7300297e-01   5.1432109e-01
   5.4255882e+01   5.9158247e-01   5.6794274e-01   3.6041392e-01   5.0364356e-01
   5.5014706e+01   5.7664575e-01   5.7050842e-01   3.4840012e-01   4.9200255e-01
   5.5773529e+01   5.6041026e-01   5.6342578e-01   3.3854437e-01   4.7926664e-01
   5.6532353e+01   5.4275165e-01   5.5055288e-01   3.3448934e-01   4.6527748e-01
   5.7291176e+01   5.2349089e-01   5.3382415e-01   3.4210454e-01   4.4984158e-01
   5.8050000e+01   5.0238607e-01   5.1398164e-01   3.6424516e-01   4.3271826e-01
   5.8808824e+01   4.7911550e-01   4.9118369e-01   3.9248450e-01   4.1360157e-01
   5.9567647e+01   4.5324816e-01   4.6525589e-01   4.1112929e-01   3.9209166e-01
   6.0326471e+01   4.2419186e-01   4.3575132e-01   4.1102969e-01   3.6764663e-01
   6.1085294e+01   3.9109842e-01   4.0190274e-01   3.9304241e-01   3.3949595e-01
   6.1844118e+01   3.5267396e-01   3.6245234e-01   3.6128700e-01   3.0646857e-01
   6.2602941e+01   3.0674764e-01   3.1522247e-01   3.1755279e-01   2.6660415e-01
   6.3361765e+01   2.4907199e-01   2.5589259e-01   2.5942160e-01   2.1607734e-01
   6.4120588e+01   1.6856048e-01   1.7311753e-01   1.7620463e-01   1.4492676e-01
