# y/Rwing   CL_no_prop CL_with_prop 
-1.000000e+00 	 2.118452e-03 	 3.326446e-03 
-1.000000e+00 	 2.316284e-03 	 3.836591e-03 
-1.000000e+00 	 1.574139e-03 	 3.632637e-03 
-9.999677e-01 	 5.035598e-04 	 3.402689e-03 
-9.999677e-01 	 7.717888e-04 	 6.071075e-03 
-9.999354e-01 	 -8.997050e-05 	 6.739323e-03 
-9.999354e-01 	 -1.645116e-03 	 6.826234e-03 
-9.999031e-01 	 -1.618909e-03 	 8.791906e-03 
-9.999031e-01 	 -1.217180e-03 	 1.096070e-02 
-9.998708e-01 	 1.318126e-04 	 1.383192e-02 
-9.998708e-01 	 3.023596e-03 	 1.777086e-02 
-9.998386e-01 	 7.004444e-03 	 2.237156e-02 
-9.998063e-01 	 1.427238e-02 	 2.977372e-02 
-9.998063e-01 	 1.751083e-02 	 3.267741e-02 
-9.997740e-01 	 2.727723e-02 	 4.224681e-02 
-9.997417e-01 	 5.439512e-02 	 6.854213e-02 
-9.996771e-01 	 6.425127e-02 	 7.533993e-02 
-9.995803e-01 	 6.822337e-02 	 7.758164e-02 
-9.993865e-01 	 7.849641e-02 	 8.699078e-02 
-9.991605e-01 	 8.713826e-02 	 9.477473e-02 
-9.987408e-01 	 1.007506e-01 	 1.073613e-01 
-9.980627e-01 	 1.134787e-01 	 1.191020e-01 
-9.969649e-01 	 1.309325e-01 	 1.353062e-01 
-9.950599e-01 	 1.465870e-01 	 1.504456e-01 
-9.920248e-01 	 1.530293e-01 	 1.584892e-01 
-9.876982e-01 	 1.504261e-01 	 1.591623e-01 
-9.817571e-01 	 1.445828e-01 	 1.519834e-01 
-9.741694e-01 	 1.430462e-01 	 1.494074e-01 
-9.651610e-01 	 1.481097e-01 	 1.536172e-01 
-9.553453e-01 	 1.565109e-01 	 1.617880e-01 
-9.452068e-01 	 1.673396e-01 	 1.711393e-01 
-9.346808e-01 	 1.767382e-01 	 1.808576e-01 
-9.234768e-01 	 1.862370e-01 	 1.904984e-01 
-9.114656e-01 	 1.955754e-01 	 1.998869e-01 
-8.985180e-01 	 2.050818e-01 	 2.096257e-01 
-8.846017e-01 	 2.146052e-01 	 2.198047e-01 
-8.699106e-01 	 2.240159e-01 	 2.299351e-01 
-8.545091e-01 	 2.331963e-01 	 2.399029e-01 
-8.384295e-01 	 2.421225e-01 	 2.496808e-01 
-8.217688e-01 	 2.506859e-01 	 2.591992e-01 
-8.045268e-01 	 2.588756e-01 	 2.683928e-01 
-7.868651e-01 	 2.666602e-01 	 2.772886e-01 
-7.688483e-01 	 2.739798e-01 	 2.857008e-01 
-7.506054e-01 	 2.808236e-01 	 2.937332e-01 
-7.322011e-01 	 2.872083e-01 	 3.015129e-01 
-7.137968e-01 	 2.930979e-01 	 3.088869e-01 
-6.954893e-01 	 2.985260e-01 	 3.159360e-01 
-6.774079e-01 	 3.034735e-01 	 3.226082e-01 
-6.596493e-01 	 3.079679e-01 	 3.289656e-01 
-6.423105e-01 	 3.120203e-01 	 3.351591e-01 
-6.254884e-01 	 3.156567e-01 	 3.407919e-01 
-6.092796e-01 	 3.189120e-01 	 3.461765e-01 
-5.937167e-01 	 3.217968e-01 	 3.512247e-01 
-5.788641e-01 	 3.243426e-01 	 3.559999e-01 
-5.647864e-01 	 3.265756e-01 	 3.604955e-01 
-5.514514e-01 	 3.285261e-01 	 3.647350e-01 
-5.389235e-01 	 3.302204e-01 	 3.687168e-01 
-5.271706e-01 	 3.316762e-01 	 3.724229e-01 
-5.162249e-01 	 3.330015e-01 	 3.758922e-01 
-5.060541e-01 	 3.340442e-01 	 3.791494e-01 
-4.965936e-01 	 3.349436e-01 	 3.821830e-01 
-4.878758e-01 	 3.356912e-01 	 3.850015e-01 
-4.798360e-01 	 3.363149e-01 	 3.876146e-01 
-4.724420e-01 	 3.368315e-01 	 3.900350e-01 
-4.656291e-01 	 3.372521e-01 	 3.922574e-01 
-4.594298e-01 	 3.375877e-01 	 3.942900e-01 
-4.537471e-01 	 3.378532e-01 	 3.961437e-01 
-4.485486e-01 	 3.380574e-01 	 3.978273e-01 
-4.438023e-01 	 3.382061e-01 	 3.993559e-01 
-4.394111e-01 	 3.383213e-01 	 4.007549e-01 
-4.352782e-01 	 3.384337e-01 	 4.020421e-01 
-4.311453e-01 	 3.385377e-01 	 4.033089e-01 
-4.270447e-01 	 3.386246e-01 	 4.046321e-01 
-4.229440e-01 	 3.386939e-01 	 4.056294e-01 
-4.188434e-01 	 3.387475e-01 	 4.065326e-01 
-4.147105e-01 	 3.387863e-01 	 4.072479e-01 
-4.106099e-01 	 3.388102e-01 	 4.077325e-01 
-4.065093e-01 	 3.388135e-01 	 4.078908e-01 
-4.024087e-01 	 3.387993e-01 	 4.076857e-01 
-3.983081e-01 	 3.387695e-01 	 4.071636e-01 
-3.941752e-01 	 3.387198e-01 	 4.063056e-01 
-3.900746e-01 	 3.386514e-01 	 4.051391e-01 
-3.859740e-01 	 3.385670e-01 	 4.032951e-01 
-3.818734e-01 	 3.384605e-01 	 4.017762e-01 
-3.777728e-01 	 3.383388e-01 	 4.003611e-01 
-3.736399e-01 	 3.381458e-01 	 3.989036e-01 
-3.695392e-01 	 3.379861e-01 	 3.996012e-01 
-3.654386e-01 	 3.377998e-01 	 4.007980e-01 
-3.613380e-01 	 3.376001e-01 	 4.007455e-01 
-3.572374e-01 	 3.373858e-01 	 4.001697e-01 
-3.531045e-01 	 3.371508e-01 	 3.988710e-01 
-3.490039e-01 	 3.368987e-01 	 3.974030e-01 
